"","Band.Number","Band.Size","Specie.Name","Specie.Code","Date","Location","Session","date2","year","month","day","location2","Habitat","session2","Body_Size","Diet","Foraging_Strata","Primary_Habitat","Habitat_Breadth","Rarity_Range_Size","Rarity_Local_Abund","Rarity_Neotrop_Abund"
"2580","442","0","MYIOBORUS MELANOCEPHALUS","MYME","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"2581","2073","2","GRALLARIA RUFULA","GRRU","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",4,"I","T","F",2,"L","F","C"
"2582","2074","2","AMBLYCERCUS HOLOSERICEUS","AMHO","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",4,"I","U","F",3,"L","R","F"
"2583","1B188","1B","SCYTALOPUS LATRANS","SCLA","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",3,"I","U","F",1,"L","C","C"
"2584","1B189","1B","MYIOTHERETES FUMIGATUS","MYFU","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",2,"I","C","F",1,"L","R","U"
"2585","A52920","X","METALLURA TYRIANTHINA","METY","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2586","A52936","X","HELIANGELUS VIOLA","HEVI","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"2587","A52954","X","METALLURA TYRIANTHINA","METY","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2588","A50295","X","COELIGENA IRIS","COIR","1-Aug-11","MASE","SEGUNDA 11",2011-08-01,2011,8,1,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2589","7","RE","HEMISPINGUS SUPERCILIARIS","HESU","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",3,"I","C","F",3,"L","F","F"
"2590","1B100","RE","BASILEUTERUS CORONATUS","BACO","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2591","1B190","1B","TROGLODYTES SOLSTITIALIS","TRSO","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",2,"I","M","F",2,"L","U","F"
"2592","1B191","1B","BASILEUTERUS CORONATUS","BACO","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2593","1B192","1B","HEMISPINGUS SUPERCILIARIS","HESU","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",3,"I","C","F",3,"L","F","F"
"2594","1B194","1B","DIGLOSSOPIS CYANEA","DICY","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2595","1B193","1B","DIGLOSSOPIS CYANEA","DICY","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2596",NA,"UNB","ERIOCNEMIS LUCIANI","ERLU","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2597","A52955","X","METALLURA TYRIANTHINA","METY","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2598","A52956","X","METALLURA TYRIANTHINA","METY","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2599",NA,"UNB","COELIGENA IRIS","COIR","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2600","A52958","X","METALLURA TYRIANTHINA","METY","2-Aug-11","MASE","SEGUNDA 11",2011-08-02,2011,8,2,"Mazan","forest.prim","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2601","1B185","1B","SYNALLAXIS AZARAE","SYAZ","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",3,"I","U","E",2,"L","C","C"
"2602","1379","1","SCYTALOPUS LATRANS","SCLA","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"2603","1380","1","OCHTHOECA FRONTALIS","OCFR","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","U","F"
"2604","1381","1","MYIOBORUS MELANOCEPHALUS","MYME","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"2605","1382","1","BASILEUTERUS CORONATUS","BACO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2606","1383","1","BASILEUTERUS CORONATUS","BACO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2607","1385","1","TROGLODYTES SOLSTITIALIS","TRSO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","M","F",2,"L","U","F"
"2608","1384","1","BASILEUTERUS NIGROCRISTATUS","BANI","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"2609","1A001","1A","BUARREMON TORQUATUS","BUTO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"2610","2069","2","GRALLARIA RUFULA","GRRU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"I","T","F",2,"L","F","C"
"2611","2070","2","GRALLARIA RUFULA","GRRU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"I","T","F",2,"L","F","C"
"2612","A52912","X","METALLURA TYRIANTHINA","METY","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2613","A52888","X","ERIOCNEMIS LUCIANI","ERLU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2614","A52928","X","HELIANGELUS VIOLA","HEVI","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"2615","A52929","X","COELIGENA IRIS","COIR","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2616","A52913","X","METALLURA TYRIANTHINA","METY","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2617","A52914","X","METALLURA TYRIANTHINA","METY","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2618","A52930","X","ERIOCNEMIS LUCIANI","ERLU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2619","1B175","RE","SCYTALOPUS LATRANS","SCLA","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"2620","2038","RE","BUARREMON TORQUATUS","BUTO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"2621","1A070","RE","ATLAPETES LATINUCHUS","ATLA","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"O","U","E",3,"L","F","C"
"2622","1A086","RE","BUARREMON TORQUATUS","BUTO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",4,"O","T/U","F",2,"L","U","F"
"2623","A50270","RE","ERIOCNEMIS LUCIANI","ERLU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2624","A50217","RE","ERIOCNEMIS LUCIANI","ERLU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2625","A49826","RE","COELIGENA IRIS","COIR","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2626","A52849","RE","COELIGENA IRIS","COIR","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2627","1B163","RE","BASILEUTERUS CORONATUS","BACO","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2628","1139","RE","BASILEUTERUS NIGROCRISTATUS","BANI","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"2629","A50270","RE","ERIOCNEMIS LUCIANI","ERLU","30-Jul-11","MAIN","SEGUNDA 11",2011-07-30,2011,7,30,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2630","1B186","1B","DIGLOSSOPIS CYANEA","DICY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2631","1B187","1B","DIGLOSSOPIS CYANEA","DICY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2632","1386","1","BASILEUTERUS NIGROCRISTATUS","BANI","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"2633","1387","1","DIGLOSSA HUMERALIS","DIHU","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2634","1388","1","BASILEUTERUS NIGROCRISTATUS","BANI","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"2635","2071","2","GRALLARIA RUFULA","GRRU","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",4,"I","T","F",2,"L","F","C"
"2636","2072","2","PSEUDOCOLAPTES BOISSONNEAUTII","PSBO","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",4,"I","M/C","F",2,"L","U","F"
"2637","A52915","X","METALLURA TYRIANTHINA","METY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2638","A52931","X","ERIOCNEMIS LUCIANI","ERLU","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2639","A52916","X","METALLURA TYRIANTHINA","METY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2640","A52917","X","METALLURA TYRIANTHINA","METY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2641","A52918","X","METALLURA TYRIANTHINA","METY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2642","A52919","X","METALLURA TYRIANTHINA","METY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2643","A50294","X","COELIGENA IRIS","COIR","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2644","A52932","X","HELIANGELUS VIOLA","HEVI","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",2,"L","U","F"
"2645","A52934","X","COELIGENA IRIS","COIR","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2646","1B165","RE","BASILEUTERUS NIGROCRISTATUS","BANI","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"I","U/M","E",4,"L","F","C"
"2647","1140","RE","DIGLOSSOPIS CYANEA","DICY","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2648","1358","RE","CRANIOLEUCA ANTISIENSIS","CRAN","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",3,"I","M/C","F",1,"L","U","F"
"2649","1B175","RE","SCYTALOPUS LATRANS","SCLA","31-Jul-11","MAIN","SEGUNDA 11",2011-07-31,2011,7,31,"Mazan","forest.intro","SEGUNDA",3,"I","U","F",1,"L","C","C"
"2650","1B093","RE","SYNALLAXIS AZARAE","SYAZ","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","U","E",2,"L","C","C"
"2651","0A074","RE","MYIOBORUS MELANOCEPHALUS","MYME","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"2652","A50280","RE","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2653","A49830","RE","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2654","A52298","RE","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2655","1B128","RE","CATAMENIA INORNATA","CAIN","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"G","T/U","N",5,"L","C","F"
"2656","A50291","RE","COLIBRI CORUSCANS","COCO","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","N",4,"L","F","C"
"2657","1B112","RE","HELLMAYREA GULARIS","HEGU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","U","F",2,"L","U","U"
"2658","A50334","RE","METALLURA BARONI","MEBA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"2659","A50280","RE","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2660","99","RE","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2661","A50135","RE","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2662","1389","1","SCYTALOPUS LATRANS","SCLA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","U","F",1,"L","C","C"
"2663","1390","1","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2664","1391","1","MECOCERCULUS LEUCOPHRYS","MELE","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","C","D",3,"L","C","C"
"2665","1392","1","SYNALLAXIS AZARAE","SYAZ","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","U","E",2,"L","C","C"
"2666","1393","1","BASILEUTERUS CORONATUS","BACO","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2667","1394","1","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2668","1395","1","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2669","1396","1","ELAENIA ALBICEPS","ELAL","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"O","C","E",4,"L","R","C"
"2670","1397","1","TROGLODYTES SOLSTITIALIS","TRSO","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","M","F",2,"L","U","F"
"2671","1398","1","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2672","1A100","1A","DIGLOSSOPIS CYANEA","DICY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2673","1B195","1B","ZONOTRICHIA CAPENSIS","ZOCA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"G","T/U","N",7,"L","C","C"
"2674","1B196","1B","MARGARORNIS SQUAMIGER","MASQ","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","M","F",2,"L","F","C"
"2675","1B197","1B","MARGARORNIS SQUAMIGER","MASQ","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","M","F",2,"L","F","C"
"2676","1B198","1B","SYNALLAXIS AZARAE","SYAZ","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"I","U","E",2,"L","C","C"
"2677","1B199","1B","ZONOTRICHIA CAPENSIS","ZOCA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"G","T/U","N",7,"L","C","C"
"2678","1B200","1B","DIGLOSSA HUMERALIS","DIHU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","U/C","N",4,"L","F","F"
"2679","1B101","1B","DIGLOSSOPIS CYANEA","DICY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2680","1B302","1B","DIGLOSSOPIS CYANEA","DICY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2681","1B303","1B","DIGLOSSOPIS CYANEA","DICY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"O","C","F",2,"L","F","C"
"2682","1B304","1B","ZONOTRICHIA CAPENSIS","ZOCA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",3,"G","T/U","N",7,"L","C","C"
"2683","1B305","1B","CATAMENIA INORNATA","CAIN","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"G","T/U","N",5,"L","C","F"
"2684","0A122","0A","MYIOBORUS MELANOCEPHALUS","MYME","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","M/C","F",2,"L","C","C"
"2685",NA,"UNB","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2686",NA,"UNB","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2687",NA,"UNB","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2688",NA,"UNB","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2689",NA,"UNB","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2690",NA,"UNB","BASILEUTERUS CORONATUS","BACO","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",2,"I","U","F",2,"L","C","C"
"2691",NA,"UNB","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2692","A52935","X","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2693","A52937","X","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2694","A52957","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2695","A52959","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2696","A52938","X","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2697","A52960","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2698","A52939","X","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2699","A52961","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2700","A52978","X","METALLURA BARONI","MEBA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"2701","A52944","X","ERIOCNEMIS LUCIANI","ERLU","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",2,"L","F","F"
"2702","A52962","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
"2703","A52963","X","METALLURA BARONI","MEBA","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","D",3,"S","C","F"
"2704","A52953","X","COELIGENA IRIS","COIR","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","F",4,"L","F","F"
"2705","A52945","X","LESBIA VICTORIAE","LEVI","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/C","N",3,"L","U","F"
"2706","A52964","X","METALLURA TYRIANTHINA","METY","3-Aug-11","LLAV","SEGUNDA 11",2011-08-03,2011,8,3,"Llaviucu","forest.sec","SEGUNDA",1,"N","U/M","D",3,"L","C","C"
